Tipo,T [°C],CO2 Concentration [a.u.]
1Mn,422.2,2.83E-05
1Mn,422.9,3.70E-05
1Mn,423.7,3.05E-05
1Mn,424.5,2.81E-05
1Mn,425.1,3.14E-05
1Mn,425.9,3.38E-05
1Mn,426.3,3.06E-05
1Mn,426.9,3.31E-05
1Mn,427.4,2.89E-05
1Mn,428,3.11E-05
1Mn,428.7,3.03E-05
1Mn,429.3,3.20E-05
1Mn,430.1,3.57E-05
1Mn,430.7,3.11E-05
1Mn,431.6,3.34E-05
1Mn,432.2,3.45E-05
1Mn,432.8,2.89E-05
1Mn,433.4,3.55E-05
1Mn,433.9,3.35E-05
1Mn,434.4,2.79E-05
1Mn,434.9,2.96E-05
1Mn,435.5,3.16E-05
1Mn,436.1,3.27E-05
1Mn,436.9,2.87E-05
1Mn,437.7,3.07E-05
1Mn,438.3,3.27E-05
1Mn,439.1,3.06E-05
1Mn,439.7,2.82E-05
1Mn,440.4,2.90E-05
1Mn,440.8,2.81E-05
1Mn,441.4,2.60E-05
1Mn,442,2.98E-05
1Mn,442.4,2.63E-05
1Mn,443.1,3.06E-05
1Mn,443.7,3.09E-05
1Mn,444.6,2.60E-05
1Mn,445.2,3.17E-05
1Mn,446.1,2.58E-05
1Mn,446.9,3.08E-05
1Mn,447.5,3.13E-05
1Mn,448.1,2.89E-05
1Mn,448.5,2.67E-05
1Mn,449.2,2.83E-05
1Mn,449.7,2.39E-05
1Mn,450.2,2.91E-05
1Mn,450.9,2.50E-05
1Mn,451.6,2.63E-05
1Mn,452.4,2.69E-05
1Mn,453.1,2.45E-05
1Mn,453.9,2.38E-05
1Mn,454.7,2.76E-05
1Mn,455.2,2.34E-05
1Mn,455.8,3.05E-05
1Mn,456.2,2.52E-05
1Mn,456.8,2.57E-05
1Mn,457.5,2.93E-05
1Mn,458,2.90E-05
1Mn,458.8,2.71E-05
1Mn,459.5,2.01E-05
1Mn,460.4,2.79E-05
1Mn,461,2.87E-05
1Mn,461.8,2.70E-05
1Mn,462.3,2.65E-05
1Mn,462.9,2.80E-05
1Mn,463.5,2.61E-05
1Mn,463.9,2.47E-05
1Mn,464.5,2.50E-05
1Mn,465,2.65E-05
1Mn,465.8,2.14E-05
1Mn,466.5,2.24E-05
1Mn,467.3,2.51E-05
1Mn,468.1,2.27E-05
1Mn,468.7,2.30E-05
1Mn,469.3,2.57E-05
1Mn,469.8,2.48E-05
1Mn,470.3,2.22E-05
1Mn,470.7,2.32E-05
1Mn,471.2,2.50E-05
1Mn,471.9,2.41E-05
1Mn,472.5,2.67E-05
1Mn,473.3,2.16E-05
1Mn,474,2.71E-05
1Mn,474.8,2.36E-05
1Mn,475.6,2.21E-05
1Mn,476.1,2.24E-05
1Mn,476.8,2.60E-05
1Mn,477.2,2.31E-05
1Mn,477.8,2.04E-05
1Mn,478.2,2.03E-05
1Mn,478.9,2.45E-05
1Mn,479.6,2.15E-05
1Mn,480.2,2.28E-05
1Mn,481.2,2.45E-05
1Mn,481.8,2.55E-05
1Mn,482.7,2.30E-05
1Mn,483.2,2.35E-05
1Mn,483.9,1.96E-05
1Mn,484.3,1.93E-05
1Mn,484.8,2.34E-05
1Mn,485.4,2.31E-05
1Mn,485.9,2.10E-05
1Mn,486.6,2.11E-05
1Mn,487.2,1.94E-05
1Mn,488,1.99E-05
1Mn,488.9,2.17E-05
1Mn,489.5,2.16E-05
1Mn,490.2,1.98E-05
1Mn,490.7,2.12E-05
1Mn,491.3,1.95E-05
1Mn,491.7,1.94E-05
1Mn,492.2,1.62E-05
1Mn,492.8,1.82E-05
1Mn,493.3,2.02E-05
1Mn,494.1,1.91E-05
1Mn,494.8,2.02E-05
1Mn,495.7,2.17E-05
1Mn,496.3,2.06E-05
1Mn,497,1.73E-05
1Mn,497.7,1.86E-05
1Mn,498.2,2.11E-05
1Mn,498.7,2.04E-05
1Mn,499.1,1.91E-05
1Mn,499.7,1.96E-05
1Mn,500.2,1.76E-05
1Mn,501,1.95E-05
1Mn,501.8,1.83E-05
1Mn,502.5,1.51E-05
1Mn,503.4,1.95E-05
1Mn,503.9,2.05E-05
1Mn,504.7,1.94E-05
1Mn,505.3,1.95E-05
1Mn,505.7,2.08E-05
1Mn,506.2,1.58E-05
1Mn,506.7,1.40E-05
1Mn,507.3,1.58E-05
1Mn,507.9,1.59E-05
1Mn,508.8,1.60E-05
1Mn,509.7,1.71E-05
1Mn,510.4,1.56E-05
1Mn,511.1,1.77E-05
1Mn,511.7,1.73E-05
1Mn,512.3,1.45E-05
1Mn,512.7,1.64E-05
1Mn,513.2,1.76E-05
1Mn,513.8,1.92E-05
1Mn,514.3,1.38E-05
1Mn,515.1,1.86E-05
1Mn,515.7,1.58E-05
1Mn,516.6,1.80E-05
1Mn,517.6,1.50E-05
1Mn,518.1,1.37E-05
1Mn,518.8,1.75E-05
1Mn,519.3,1.64E-05
1Mn,519.8,1.41E-05
1Mn,520.2,1.47E-05
1Mn,520.8,1.78E-05
1Mn,521.4,1.41E-05
1Mn,522,1.70E-05
1Mn,522.8,1.47E-05
1Mn,523.5,1.63E-05
1Mn,524.4,1.42E-05
1Mn,525,9.67E-06
1Mn,525.7,1.50E-05
1Mn,526.3,1.21E-05
1Mn,526.7,2.01E-05
1Mn,527.2,8.37E-06
1Mn,527.6,1.38E-05
1Mn,528.2,1.34E-05
1Mn,528.8,1.49E-05
1Mn,529.6,1.70E-05
1Mn,530.5,1.70E-05
1Mn,531.1,1.96E-05
1Mn,532,1.63E-05
1Mn,532.4,1.24E-05
1Mn,533.1,1.35E-05
1Mn,533.6,1.26E-05
1Mn,534,1.61E-05
1Mn,534.5,1.08E-05
1Mn,535,1.16E-05
1Mn,535.8,1.23E-05
1Mn,536.3,1.33E-05
1Mn,537.2,1.23E-05
1Mn,538.1,1.00E-05
1Mn,538.7,1.39E-05
1Mn,539.4,1.01E-05
1Mn,539.8,8.30E-06
1Mn,540.3,1.16E-05
1Mn,540.7,1.21E-05
1Mn,541.2,8.76E-06
1Mn,541.9,1.35E-05
1Mn,542.5,1.37E-05
1Mn,543.3,1.07E-05
1Mn,544,1.25E-05
1Mn,544.8,1.38E-05
1Mn,545.4,8.16E-06
1Mn,546.1,6.12E-06
1Mn,546.7,9.69E-06
1Mn,547.1,1.14E-05
1Mn,547.6,1.17E-05
1Mn,548,1.06E-05
1Mn,548.7,8.04E-06
1Mn,549.5,1.05E-05
1Mn,550.1,1.37E-05
1Mn,551,1.13E-05
1Mn,551.7,1.03E-05
1Mn,552.5,1.27E-05
1Mn,553.2,1.44E-05
1Mn,553.5,1.43E-05
1Mn,554.1,8.77E-06
1Mn,554.5,1.08E-05
1Mn,555,1.00E-05
1Mn,555.5,1.28E-05
1Mn,556.3,8.97E-06
1Mn,557.3,9.24E-06
1Mn,557.9,9.93E-06
1Mn,558.8,9.16E-06
1Mn,559.4,7.21E-06
1Mn,560.1,1.21E-05
1Mn,560.6,1.10E-05
1Mn,561,1.26E-05
1Mn,561.5,1.16E-05
1Mn,562,1.11E-05
1Mn,562.7,1.31E-05
1Mn,563.3,9.69E-06
1Mn,564.1,9.49E-06
1Mn,565.1,1.03E-05
1Mn,565.6,8.87E-06
1Mn,566.4,1.36E-05
1Mn,567,1.15E-05
1Mn,567.4,8.87E-06
1Mn,567.9,1.09E-05
1Mn,568.3,8.67E-06
1Mn,568.9,6.27E-06
1Mn,569.5,7.88E-06
1Mn,570.3,9.74E-06
1Mn,571.2,8.94E-06
1Mn,571.9,8.18E-06
1Mn,572.7,9.67E-06
1Mn,573.2,9.31E-06
1Mn,573.8,1.13E-05
1Mn,574.3,8.57E-06
1Mn,574.6,1.08E-05
1Mn,575.2,1.10E-05
1Mn,575.7,1.22E-05
1Mn,576.5,1.16E-05
1Mn,577.2,1.07E-05
1Mn,578,1.24E-05
1Mn,578.9,9.66E-06
1Mn,579.5,1.06E-05
1Mn,580.1,9.74E-06
1Mn,580.5,1.04E-05
1Mn,580.9,7.65E-06
1Mn,581.4,7.91E-06
1Mn,581.9,7.41E-06
1Mn,582.6,8.43E-06
1Mn,583.2,1.27E-05
1Mn,584.1,9.15E-06
1Mn,585,9.54E-06
1Mn,585.6,9.97E-06
1Mn,586.3,8.04E-06
1Mn,586.7,9.87E-06
1Mn,587.2,7.31E-06
1Mn,587.7,8.02E-06
1Mn,588.1,1.27E-05
1Mn,588.8,8.05E-06
1Mn,589.4,8.48E-06
1Mn,590.2,1.22E-05
1Mn,590.9,8.69E-06
1Mn,591.8,9.65E-06
1Mn,592.6,9.77E-06
1Mn,593.1,7.83E-06
1Mn,593.7,4.77E-06
1Mn,594,8.66E-06
1Mn,594.5,8.19E-06
1Mn,594.9,8.48E-06
1Mn,595.6,7.80E-06
1Mn,596.5,1.10E-05
1Mn,597.2,7.34E-06
1Mn,598.1,9.59E-06
1Mn,598.8,7.21E-06
1Mn,599.5,9.52E-06
1Mn,600,1.06E-05
1Mn,600.5,5.24E-06
1Mn,601,5.73E-06
1Mn,601.3,7.30E-06
1Mn,601.9,5.80E-06
1Mn,602.5,3.25E-06
1Mn,603.3,8.73E-06
1Mn,604,3.83E-06
1Mn,604.9,7.75E-06
1Mn,605.8,6.11E-06
1Mn,606.3,7.84E-06
1Mn,606.9,8.89E-06
1Mn,607.2,5.38E-06
1Mn,607.7,6.81E-06
1Mn,608.2,6.63E-06
1Mn,608.6,8.43E-06
1Mn,609.5,6.99E-06
1Mn,610.1,7.43E-06
1Mn,611.1,4.03E-06
1Mn,611.8,2.14E-06
1Mn,612.6,8.42E-06
1Mn,613.3,7.65E-06
1Mn,613.6,6.53E-06
1Mn,614.1,4.37E-06
1Mn,614.4,5.13E-06
1Mn,615,5.64E-06
1Mn,615.6,5.87E-06
1Mn,616.2,6.39E-06
1Mn,617.2,3.81E-06
1Mn,617.8,5.54E-06
1Mn,618.7,4.72E-06
1Mn,619.5,5.20E-06
1Mn,620,4.25E-06
1Mn,620.4,2.67E-06
1Mn,620.7,2.72E-06
1Mn,621.1,1.13E-06
1Mn,621.7,3.84E-06
1Mn,622.2,3.14E-06
1Mn,623,2.21E-06
1Mn,623.7,3.29E-06
1Mn,624.6,4.10E-06
1Mn,625.4,4.53E-06
1Mn,626,6.44E-06
1Mn,626.5,3.89E-06
1Mn,626.9,1.47E-06
1Mn,627.3,3.00E-06
1Mn,627.7,2.09E-06
1Mn,628.3,5.57E-06
1Mn,629.2,6.09E-06
1Mn,629.9,1.84E-06
1Mn,630.9,2.93E-06
1Mn,631.5,5.57E-06
1Mn,632.3,3.66E-06
1Mn,632.9,-1.19E-06
1Mn,633.3,-3.76E-07
1Mn,633.7,2.84E-06
1Mn,634,2.31E-06
1Mn,634.6,1.18E-07
1Mn,635.2,2.50E-06
1Mn,636.1,2.91E-07
1Mn,637,3.66E-07
1Mn,637.7,3.89E-06
1Mn,638.5,2.46E-06
1Mn,639,3.05E-06
1Mn,639.5,1.94E-06
1Mn,639.8,2.44E-06
1Mn,640.3,3.17E-07
1Mn,640.8,1.31E-06
1Mn,641.3,-9.32E-07
1Mn,642.1,3.15E-07
1Mn,642.9,1.48E-06
1Mn,643.8,2.37E-06
1Mn,644.7,2.23E-06
1Mn,645.2,2.12E-06
1Mn,645.8,2.31E-06
1Mn,646.1,2.20E-06
1Mn,646.5,2.71E-07
1Mn,646.9,7.07E-07
1Mn,647.5,1.80E-06
1Mn,648.3,-7.12E-07
1Mn,649,-1.96E-06
1Mn,649.9,5.47E-08
1Mn,650.6,4.11E-06
1Mn,651.3,1.39E-06
1Mn,652,2.49E-06
1Mn,652.3,1.91E-06
1Mn,652.8,5.62E-07
1Mn,653.1,6.62E-07
1Mn,653.7,-2.74E-07
1Mn,654.2,1.32E-06
1Mn,655.1,-5.89E-09
1Mn,656,6.71E-07
1Mn,656.8,1.24E-06
1Mn,657.6,1.45E-06
1Mn,658,-1.28E-06
1Mn,658.6,-1.26E-06
1Mn,659,-3.13E-07
1Mn,659.3,-2.99E-06
1Mn,659.9,-1.54E-06
1Mn,660.4,8.63E-07
1Mn,661.4,-5.66E-07
1Mn,662,9.99E-07
1Mn,663,1.64E-06
1Mn,663.9,-1.99E-07
1Mn,664.4,3.60E-06
1Mn,665,-2.42E-06
1Mn,665.4,-2.30E-06
1Mn,665.8,1.46E-06
1Mn,666.2,-1.37E-07
1Mn,666.8,1.32E-06
1Mn,667.6,1.87E-06
1Mn,668.3,-9.54E-07
1Mn,669.3,-2.51E-06
1Mn,670.2,-1.35E-07
1Mn,670.8,2.87E-06
1Mn,671.4,2.47E-06
1Mn,671.7,-4.08E-07
1Mn,672.2,-9.63E-07
1Mn,672.5,-2.29E-07
1Mn,673.1,-2.69E-07
1Mn,673.8,-2.64E-06
1Mn,674.5,1.37E-06
1Mn,675.5,-4.11E-06
1Mn,676.2,-1.48E-06
1Mn,677,1.96E-08
1Mn,677.7,1.16E-06
1Mn,678,8.99E-07
1Mn,678.4,9.82E-08
1Mn,678.7,1.38E-06
1Mn,679.3,-4.42E-07
1Mn,679.8,-1.60E-06
1Mn,680.6,-3.05E-06
1Mn,681.6,1.52E-06
1Mn,682.3,-5.41E-07
1Mn,683.2,1.92E-06
1Mn,683.7,-1.07E-06
1Mn,684.3,-2.64E-06
1Mn,684.7,-8.33E-07
1Mn,685,-2.08E-06
1Mn,685.4,-1.50E-06
1Mn,685.9,-2.11E-06
1Mn,686.7,-5.37E-06
1Mn,687.6,1.17E-06
1Mn,688.3,-6.83E-07
1Mn,689.2,-3.82E-06
1Mn,689.8,1.08E-06
1Mn,690.3,-2.08E-06
1Mn,690.7,-6.34E-07
1Mn,691.1,-1.91E-06
1Mn,691.5,-3.61E-06
1Mn,691.9,-3.52E-06
1Mn,692.7,-1.39E-06
1Mn,693.3,-2.18E-06
1Mn,694.3,-3.59E-06
1Mn,695.2,-4.14E-06
1Mn,695.7,-2.20E-06
1Mn,696.3,-7.02E-07
1Mn,696.7,-1.78E-06
1Mn,697,-5.96E-07
1Mn,697.5,-2.71E-06
1Mn,697.9,-4.69E-06
1Mn,698.7,2.35E-06
1Mn,699.4,-5.07E-06
1Mn,700.3,-2.29E-07
1Mn,701.1,6.62E-07
1Mn,701.9,5.21E-07
1Mn,702.6,-2.55E-06
1Mn,702.9,9.63E-07
1Mn,703.4,-3.18E-06
1Mn,703.6,-3.33E-06
1Mn,704.2,-7.86E-07
1Mn,704.8,-1.95E-06
1Mn,705.6,-6.27E-07
1Mn,706.3,-1.55E-06
1Mn,707.3,-3.65E-07
1Mn,708.1,-2.65E-06
1Mn,708.7,-2.03E-06
1Mn,709.2,-4.17E-06
1Mn,709.5,-3.57E-07
1Mn,709.8,-3.34E-06
1Mn,710.3,-3.50E-07
1Mn,710.9,-5.24E-06
1Mn,711.7,3.05E-06
1Mn,712.7,-3.58E-06
1Mn,713.4,1.65E-06
1Mn,714.3,-6.60E-07
1Mn,714.8,-3.05E-06
1Mn,715.4,-5.64E-07
1Mn,715.7,-3.46E-06
1Mn,716.1,-1.25E-06
1Mn,716.6,-2.77E-06
1Mn,717.1,-6.49E-06
1Mn,717.9,-7.37E-07
1Mn,718.6,-1.19E-06
1Mn,719.6,-2.66E-06
1Mn,720.5,-1.27E-06
1Mn,721,-4.31E-07
1Mn,721.5,-4.01E-06
1Mn,721.9,-1.28E-06
1Mn,722.2,-3.80E-06
1Mn,722.7,-3.44E-06
1Mn,723.2,8.69E-07
1Mn,724,-5.12E-06
1Mn,724.7,-1.48E-06
1Mn,725.7,2.25E-07
1Mn,726.6,-3.47E-06
1Mn,727.2,-1.69E-06
1Mn,727.7,-7.70E-07
1Mn,728,-1.95E-06
1Mn,728.4,-2.47E-06
1Mn,728.7,-4.00E-06
1Mn,729.3,-6.45E-07
1Mn,730.1,-1.13E-06
1Mn,730.8,9.10E-07
1Mn,731.8,-3.76E-06
1Mn,732.5,-3.09E-06
1Mn,733.2,-1.32E-06
1Mn,733.8,-1.76E-07
1Mn,734.2,-3.47E-06
1Mn,734.5,-1.08E-06
1Mn,734.8,-3.08E-06
1Mn,735.4,2.12E-07
1Mn,736,-3.33E-06
1Mn,737,-3.71E-06
1Mn,738,-1.07E-06
1Mn,738.7,-5.38E-06
1Mn,739.5,-5.01E-06
1Mn,739.9,-2.37E-06
1Mn,740.3,-2.22E-07
1Mn,740.7,-2.99E-06
1Mn,741,-5.80E-07
1Mn,741.6,-3.68E-07
1Mn,742.2,-1.19E-06
1Mn,743.1,1.59E-06
1Mn,744.1,2.15E-06
1Mn,744.8,4.61E-07
1Mn,745.6,1.56E-06
1Mn,746,-4.33E-06
1Mn,746.5,-1.80E-06
1Mn,746.8,-3.88E-06
1Mn,747.2,1.52E-07
1Mn,747.7,1.63E-06
1Mn,748.3,1.48E-07
1Mn,749.2,-2.50E-06
1Mn,750,-3.78E-06
1Mn,751,-3.22E-06
1Mn,751.7,-2.39E-06
1Mn,752.2,-7.33E-08
1Mn,752.6,-3.71E-06
1Mn,752.9,-1.50E-07
1Mn,753.3,-3.46E-06
1Mn,753.8,-3.23E-06
1Mn,754.4,-1.53E-06
1Mn,755.3,-4.62E-06
1Mn,755.8,-2.16E-07
1Cr,26.3,1.21E-04
1Cr,26.4,1.22E-04
1Cr,26.4,1.21E-04
1Cr,26.5,1.25E-04
1Cr,26.6,1.24E-04
1Cr,26.7,1.23E-04
1Cr,26.8,1.23E-04
1Cr,26.9,1.25E-04
1Cr,27,1.21E-04
1Cr,27.1,1.20E-04
1Cr,27.1,1.23E-04
1Cr,27.3,1.19E-04
1Cr,27.4,1.17E-04
1Cr,27.4,1.16E-04
1Cr,27.6,1.22E-04
1Cr,27.7,1.21E-04
1Cr,27.9,1.21E-04
1Cr,28,1.20E-04
1Cr,28.1,1.21E-04
1Cr,28.2,1.19E-04
1Cr,28.4,1.19E-04
1Cr,28.6,1.20E-04
1Cr,28.8,1.19E-04
1Cr,29,1.20E-04
1Cr,29.1,1.18E-04
1Cr,29.3,1.24E-04
1Cr,29.5,1.21E-04
1Cr,29.7,1.21E-04
1Cr,30,1.23E-04
1Cr,30.1,1.23E-04
1Cr,30.4,1.25E-04
1Cr,30.6,1.25E-04
1Cr,30.9,1.28E-04
1Cr,31.1,1.29E-04
1Cr,31.3,1.30E-04
1Cr,31.6,1.27E-04
1Cr,31.8,1.29E-04
1Cr,32,1.32E-04
1Cr,32.3,1.32E-04
1Cr,32.6,1.31E-04
1Cr,32.9,1.35E-04
1Cr,33.1,1.38E-04
1Cr,33.5,1.36E-04
1Cr,33.7,1.37E-04
1Cr,34,1.37E-04
1Cr,34.4,1.44E-04
1Cr,34.6,1.44E-04
1Cr,35,1.44E-04
1Cr,35.3,1.49E-04
1Cr,35.6,1.48E-04
1Cr,35.9,1.52E-04
1Cr,36.2,1.52E-04
1Cr,36.6,1.56E-04
1Cr,36.9,1.58E-04
1Cr,37.3,1.61E-04
1Cr,37.7,1.65E-04
1Cr,38,1.63E-04
1Cr,38.3,1.69E-04
1Cr,38.7,1.70E-04
1Cr,39.1,1.74E-04
1Cr,39.4,1.77E-04
1Cr,39.8,1.80E-04
1Cr,40.2,1.84E-04
1Cr,40.6,1.85E-04
1Cr,40.9,1.88E-04
1Cr,41.4,1.94E-04
1Cr,41.9,1.97E-04
1Cr,42.2,1.99E-04
1Cr,42.6,2.04E-04
1Cr,42.9,2.09E-04
1Cr,43.4,2.15E-04
1Cr,43.7,2.21E-04
1Cr,44.1,2.20E-04
1Cr,44.6,2.25E-04
1Cr,44.9,2.31E-04
1Cr,45.4,2.34E-04
1Cr,45.8,2.33E-04
1Cr,46.3,2.37E-04
1Cr,46.8,2.44E-04
1Cr,47.1,2.49E-04
1Cr,47.6,2.55E-04
1Cr,48,2.63E-04
1Cr,48.5,2.59E-04
1Cr,48.8,2.64E-04
1Cr,49.3,2.69E-04
1Cr,49.7,2.78E-04
1Cr,50.2,2.77E-04
1Cr,50.7,2.83E-04
1Cr,51.1,2.92E-04
1Cr,51.6,2.93E-04
1Cr,51.9,3.03E-04
1Cr,52.5,3.06E-04
1Cr,52.8,3.10E-04
1Cr,53.3,3.10E-04
1Cr,53.8,3.18E-04
1Cr,54.2,3.23E-04
1Cr,54.7,3.31E-04
1Cr,55,3.39E-04
1Cr,55.6,3.40E-04
1Cr,56,3.45E-04
1Cr,56.5,3.44E-04
1Cr,56.9,3.49E-04
1Cr,57.4,3.54E-04
1Cr,57.8,3.59E-04
1Cr,58.4,3.69E-04
1Cr,58.9,3.72E-04
1Cr,59.2,3.76E-04
1Cr,59.7,3.78E-04
1Cr,60.1,3.81E-04
1Cr,60.6,3.87E-04
1Cr,61.1,3.89E-04
1Cr,61.6,3.98E-04
1Cr,62,3.99E-04
1Cr,62.6,4.05E-04
1Cr,63.1,4.11E-04
1Cr,63.5,4.11E-04
1Cr,64,4.18E-04
1Cr,64.4,4.18E-04
1Cr,64.9,4.19E-04
1Cr,65.3,4.25E-04
1Cr,65.9,4.29E-04
1Cr,66.3,4.26E-04
1Cr,66.8,4.35E-04
1Cr,67.4,4.38E-04
1Cr,67.8,4.42E-04
1Cr,68.2,4.38E-04
1Cr,68.8,4.45E-04
1Cr,69.3,4.48E-04
1Cr,69.7,4.49E-04
1Cr,70.2,4.49E-04
1Cr,70.7,4.54E-04
1Cr,71.2,4.59E-04
1Cr,71.6,4.59E-04
1Cr,72.1,4.61E-04
1Cr,72.7,4.62E-04
1Cr,73.1,4.64E-04
1Cr,73.7,4.61E-04
1Cr,74.2,4.65E-04
1Cr,74.6,4.62E-04
1Cr,75,4.64E-04
1Cr,75.6,4.68E-04
1Cr,76.1,4.65E-04
1Cr,76.5,4.75E-04
1Cr,77,4.71E-04
1Cr,77.5,4.71E-04
1Cr,78,4.74E-04
1Cr,78.4,4.71E-04
1Cr,79,4.69E-04
1Cr,79.4,4.73E-04
1Cr,80,4.75E-04
1Cr,80.4,4.73E-04
1Cr,80.9,4.77E-04
1Cr,81.5,4.73E-04
1Cr,81.8,4.76E-04
1Cr,82.4,4.75E-04
1Cr,82.8,4.73E-04
1Cr,83.4,4.77E-04
1Cr,83.9,4.71E-04
1Cr,84.5,4.72E-04
1Cr,84.9,4.68E-04
1Cr,85.5,4.70E-04
1Cr,85.9,4.73E-04
1Cr,86.4,4.70E-04
1Cr,87,4.68E-04
1Cr,87.4,4.68E-04
1Cr,87.9,4.67E-04
1Cr,88.3,4.63E-04
1Cr,88.9,4.70E-04
1Cr,89.3,4.66E-04
1Cr,89.9,4.65E-04
1Cr,90.3,4.64E-04
1Cr,90.9,4.61E-04
1Cr,91.4,4.63E-04
1Cr,92,4.59E-04
1Cr,92.3,4.56E-04
1Cr,92.9,4.58E-04
1Cr,93.3,4.58E-04
1Cr,93.8,4.60E-04
1Cr,94.4,4.60E-04
1Cr,94.9,4.55E-04
1Cr,95.5,4.56E-04
1Cr,95.9,4.51E-04
1Cr,96.5,4.48E-04
1Cr,96.9,4.49E-04
1Cr,97.5,4.49E-04
1Cr,97.9,4.47E-04
1Cr,98.5,4.46E-04
1Cr,98.9,4.42E-04
1Cr,99.4,4.41E-04
1Cr,99.8,4.47E-04
1Cr,100.4,4.41E-04
1Cr,101,4.36E-04
1Cr,101.5,4.33E-04
1Cr,102.1,4.37E-04
1Cr,102.5,4.31E-04
1Cr,103.1,4.34E-04
1Cr,103.5,4.31E-04
1Cr,104.1,4.29E-04
1Cr,104.6,4.24E-04
1Cr,105.1,4.24E-04
1Cr,105.6,4.22E-04
1Cr,106.1,4.19E-04
1Cr,106.6,4.19E-04
1Cr,107,4.16E-04
1Cr,107.6,4.18E-04
1Cr,108.1,4.10E-04
1Cr,108.7,4.12E-04
1Cr,109.3,4.12E-04
1Cr,109.7,4.10E-04
1Cr,110.3,4.07E-04
1Cr,110.7,4.02E-04
1Cr,111.3,4.00E-04
1Cr,111.7,4.02E-04
1Cr,112.3,4.01E-04
1Cr,112.7,3.95E-04
1Cr,113.3,3.95E-04
1Cr,113.8,3.92E-04
1Cr,114.4,3.88E-04
1Cr,115,3.90E-04
1Cr,115.4,3.87E-04
1Cr,116.1,3.86E-04
1Cr,116.5,3.84E-04
1Cr,117.1,3.79E-04
1Cr,117.5,3.75E-04
1Cr,118.1,3.80E-04
1Cr,118.6,3.74E-04
1Cr,119.1,3.73E-04
1Cr,119.7,3.73E-04
1Cr,120.2,3.70E-04
1Cr,120.8,3.66E-04
1Cr,121.3,3.64E-04
1Cr,121.9,3.59E-04
1Cr,122.4,3.59E-04
1Cr,123,3.53E-04
1Cr,123.5,3.57E-04
1Cr,124,3.57E-04
1Cr,124.6,3.47E-04
1Cr,125.1,3.47E-04
1Cr,125.7,3.50E-04
1Cr,126.2,3.47E-04
1Cr,126.8,3.44E-04
1Cr,127.5,3.41E-04
1Cr,128,3.39E-04
1Cr,128.6,3.37E-04
1Cr,129.1,3.34E-04
1Cr,129.7,3.33E-04
1Cr,130.1,3.32E-04
1Cr,130.7,3.26E-04
1Cr,131.3,3.25E-04
1Cr,131.8,3.24E-04
1Cr,132.5,3.21E-04
1Cr,132.9,3.19E-04
1Cr,133.6,3.22E-04
1Cr,134.1,3.16E-04
1Cr,134.7,3.17E-04
1Cr,135.3,3.13E-04
1Cr,135.8,3.10E-04
1Cr,136.4,3.06E-04
1Cr,136.8,3.06E-04
1Cr,137.5,3.05E-04
1Cr,138.1,3.00E-04
1Cr,138.5,3.02E-04
1Cr,139.2,2.97E-04
1Cr,139.7,3.02E-04
1Cr,140.4,2.90E-04
1Cr,140.9,2.90E-04
1Cr,141.5,2.91E-04
1Cr,142.1,2.87E-04
1Cr,142.6,2.80E-04
1Cr,143.3,2.85E-04
1Cr,143.7,2.81E-04
1Cr,144.3,2.79E-04
1Cr,144.8,2.74E-04
1Cr,145.4,2.73E-04
1Cr,145.9,2.71E-04
1Cr,146.6,2.71E-04
1Cr,147.2,2.65E-04
1Cr,147.7,2.63E-04
1Cr,148.4,2.60E-04
1Cr,148.9,2.57E-04
1Cr,149.5,2.55E-04
1Cr,150.1,2.59E-04
1Cr,150.6,2.54E-04
1Cr,151.2,2.54E-04
1Cr,151.7,2.51E-04
1Cr,152.3,2.46E-04
1Cr,153,2.44E-04
1Cr,153.5,2.40E-04
1Cr,154.2,2.40E-04
1Cr,154.7,2.37E-04
1Cr,155.3,2.38E-04
1Cr,156,2.30E-04
1Cr,156.4,2.31E-04
1Cr,157,2.23E-04
1Cr,157.5,2.19E-04
1Cr,158.1,2.21E-04
1Cr,158.7,2.23E-04
1Cr,159.2,2.18E-04
1Cr,159.9,2.18E-04
1Cr,160.4,2.17E-04
1Cr,161.1,2.13E-04
1Cr,161.6,2.09E-04
1Cr,162.2,2.08E-04
1Cr,162.9,2.04E-04
1Cr,163.3,2.00E-04
1Cr,163.9,1.98E-04
1Cr,164.4,1.93E-04
1Cr,165.1,1.96E-04
1Cr,165.5,1.92E-04
1Cr,166.2,1.86E-04
1Cr,166.9,1.87E-04
1Cr,167.4,1.82E-04
1Cr,168.1,1.82E-04
1Cr,168.6,1.81E-04
1Cr,169.2,1.81E-04
1Cr,169.7,1.77E-04
1Cr,170.3,1.74E-04
1Cr,171,1.73E-04
1Cr,171.5,1.68E-04
1Cr,172.1,1.70E-04
1Cr,172.6,1.63E-04
1Cr,173.3,1.59E-04
1Cr,173.8,1.62E-04
1Cr,174.5,1.60E-04
1Cr,175.1,1.58E-04
1Cr,175.7,1.58E-04
1Cr,176.3,1.49E-04
1Cr,176.8,1.51E-04
1Cr,177.4,1.49E-04
1Cr,178,1.48E-04
1Cr,178.5,1.46E-04
1Cr,179.2,1.44E-04
1Cr,179.7,1.47E-04
1Cr,180.3,1.42E-04
1Cr,181,1.40E-04
1Cr,181.6,1.40E-04
1Cr,182.3,1.38E-04
1Cr,182.7,1.31E-04
1Cr,183.5,1.31E-04
1Cr,183.9,1.31E-04
