Tipo,T [°C],CO2 Concentration [a.u.]
REF,256.6,7.90E-05
REF,257.2,7.79E-05
REF,257.9,7.97E-05
REF,258.4,7.92E-05
REF,259.1,7.80E-05
REF,259.6,7.93E-05
REF,260.2,7.54E-05
REF,260.8,7.12E-05
REF,261.4,7.55E-05
REF,262,7.23E-05
REF,262.6,6.97E-05
REF,263.3,6.97E-05
REF,264.1,6.70E-05
REF,264.6,6.97E-05
REF,265.3,6.57E-05
REF,265.8,6.55E-05
REF,266.5,6.47E-05
REF,267,6.31E-05
REF,267.6,6.32E-05
REF,268.3,6.26E-05
REF,268.8,5.98E-05
REF,269.5,6.00E-05
REF,270.1,5.68E-05
REF,270.8,5.78E-05
REF,271.4,5.42E-05
REF,272.1,5.19E-05
REF,272.8,5.32E-05
REF,273.3,4.94E-05
REF,273.9,5.25E-05
REF,274.4,5.18E-05
REF,275,4.63E-05
REF,275.5,4.92E-05
REF,276.2,5.08E-05
REF,276.7,4.88E-05
REF,277.5,4.46E-05
REF,278.2,4.26E-05
REF,278.9,4.66E-05
REF,279.7619026,4.44E-05
REF,280.5624908,4.33E-05
REF,281.0628582,4.22E-05
REF,281.4,4.35E-05
REF,281.8,4.10E-05
REF,282.5,4.18E-05
REF,283,4.06E-05
REF,283.7,4.05E-05
REF,284.5,4.12E-05
REF,285.1,3.78E-05
REF,285.9,3.78E-05
REF,286.4,3.72E-05
REF,287.2,3.75E-05
REF,287.8,3.70E-05
REF,288.3,3.75E-05
REF,289,3.73E-05
REF,289.4,3.39E-05
REF,290.1,3.61E-05
REF,290.8,3.76E-05
REF,291.5,3.45E-05
REF,292.2,3.66E-05
REF,292.8,3.60E-05
REF,293.5,3.48E-05
REF,294.1,3.70E-05
REF,294.8,3.52E-05
REF,295.5,3.13E-05
REF,295.9,3.46E-05
REF,296.5,3.27E-05
REF,297.1,3.36E-05
REF,298.17543,2.93E-05
REF,298.4,3.33E-05
REF,299.1,3.01E-05
REF,299.9,3.26E-05
REF,300.5,3.05E-05
REF,301.2,2.94E-05
REF,301.7,3.06E-05
REF,302.4,2.90E-05
REF,302.9,3.09E-05
REF,303.5,2.90E-05
REF,304.2,2.71E-05
REF,304.7,2.59E-05
REF,305.5,2.68E-05
REF,306.1,2.74E-05
REF,306.9,2.80E-05
REF,307.5,2.50E-05
REF,308.2,2.26E-05
REF,309,2.38E-05
