TOS_REF[h],X_CH4_REF [%],X_CO2_REF [%],,TOS_1Mn [h],X_CH4_1Mn [%],X_CO2_1Mn [%],,TOS_0.5Mn [h],X_CH4_0.5Mn [%],X_CO2_0.5Mn [%],,TOS_0.25Mn [h],X_CH4_0.25Mn [%],X_CO2_0.25 Mn [%],,TOS_1Cr [h],X_CH4_1Cr [%],X_CO2_1Cr [%],,TOS-0.5Cr [h],X_CH4_0.5Cr [%],X_CO2_0.5Cr [%],,TOS_0.25Cr [h],X_CH4_0.25Cr [%],X_CO2_0.25Cr [%],,TOS_1Fe [h],X_CH4_1Fe [%],X_CO2_1Fe [%],,TOS_0.5Fe [h],X_CH4_0.5Fe [%],X_CO2_0.5Fe [%],,TOS_0.25Fe [h],X_CH4_0.25Fe [%],X_CO2_0.25Fe [%]
3.90694,28.26236,39.39253,,3.90694,36.04365,47.70537,,3.90667,38.27031,50.12832,,3.90667,34.5945,45.74325,,3.90694,37.78381,49.99432,,3.90694,37.13934,49.50204,,3.90722,36.99015,48.09516,,3.90722,30.24279,43.4332,,3.90694,40.58719,53.25814,,4.04861,40.71379,53.27737
4.04833,28.2348,39.29252,,4.04833,35.96261,47.70101,,4.04833,38.19515,49.84362,,4.04833,34.56224,45.48362,,4.04833,37.74708,49.91255,,4.04861,36.94084,49.30247,,4.04889,36.80084,47.95559,,4.04889,30.35572,43.4646,,4.04861,40.55862,53.34299,,4.19028,40.74818,53.26261
4.19028,27.97863,39.32457,,4.19,35.9052,47.68718,,4.19,37.96508,49.76344,,4.19,34.59234,45.50765,,4.19,37.42577,49.07733,,4.19028,37.04,49.11077,,4.19028,36.82145,47.87848,,4.19,30.22694,43.41592,,4.19,40.48049,53.16222,,4.33167,40.75628,53.06724
4.33167,27.50787,38.51084,,4.33194,35.94293,47.54312,,4.33167,37.79671,49.51866,,4.33167,34.7321,45.47146,,4.33167,37.3,49.09475,,4.33139,36.80882,48.95567,,4.33167,36.59871,47.80336,,4.33167,30.37617,43.60133,,4.33167,40.47341,53.2634,,4.47333,40.65767,53.00919
4.47333,27.40219,38.54824,,4.47333,35.7356,47.5904,,4.47333,37.79285,49.51446,,4.47333,34.24643,45.25927,,4.47306,36.91674,48.78013,,4.47306,36.69551,48.93341,,4.47333,36.44988,47.72804,,4.47333,30.3761,43.63404,,4.47333,40.47408,53.23711,,4.61472,40.69305,53.01469
4.615,27.29096,38.31274,,4.61528,35.58841,47.44889,,4.615,37.59169,49.29376,,4.61528,34.32908,45.26032,,4.615,36.77782,48.55011,,4.61472,36.55509,48.69054,,4.61472,36.28721,47.48403,,4.615,30.41177,43.51639,,4.615,40.56537,53.15015,,4.75667,40.59361,52.97318
4.75667,27.23711,38.36603,,4.75694,35.62685,47.30524,,4.75611,37.45222,49.29599,,4.75639,33.9597,45.11689,,4.75667,36.621,48.53922,,4.75639,36.4653,48.68998,,4.75639,36.23514,47.28614,,4.75667,30.36914,43.5233,,4.75667,40.56002,53.28502,,4.89833,40.46686,52.94765
4.89833,27.03305,38.16084,,4.89861,35.5995,47.34223,,4.89778,37.57244,49.35474,,4.89806,33.98371,45.16061,,4.89833,36.51416,48.46608,,4.89806,36.16446,48.55245,,4.89806,36.14716,47.40191,,4.89833,30.44643,43.67372,,4.89806,40.18408,52.82191,,5.03972,40.52465,52.77235
5.03972,26.95125,38.03383,,5.04,35.56327,47.25582,,5.03972,37.44608,49.19911,,5.03944,33.87743,44.88852,,5.03972,36.45282,48.26019,,5.04,36.26451,48.36414,,5.03944,35.99121,46.95979,,5.04,30.56573,43.36851,,5.03944,40.18466,52.71405,,5.18167,40.35067,52.95037
5.18111,26.83968,37.70635,,5.18139,35.54005,47.19633,,5.18111,37.32929,49.22675,,5.18111,33.72591,44.66573,,5.18139,36.36659,48.23677,,5.18167,36.07776,48.41517,,5.18139,35.69356,47.0385,,5.18167,30.65957,43.63653,,5.18139,40.22353,52.79118,,5.32278,40.33071,52.80871
