TOS_REF[h],X_CH4_REF [%],X_CO2_REF [%],Coke_REF [w%],,TOS_REF_2[h],X_CH4_REF_2 [%],X_CO2_REF_2 [%],Coke_REF_2 [w%],,TOS_1Mn [h],X_CH4_1Mn [%],X_CO2_1Mn [%],Coke_1Mn [w%],,TOS_1Mn_2 [h],X_CH4_1Mn_2 [%],X_CO2_1Mn_2 [%],Coke_1Mn_2 [w%],,TOS_0.5Mn [h],X_CH4_0.5Mn [%],X_CO2_0.5Mn [%],Coke_0.5Mn [w%],,TOS_0.5Mn_2 [h],X_CH4_0.5Mn_2 [%],X_CO2_0.5Mn_2 [%],Coke_0.5Mn_2 [w%],,TOS_0.25Mn [h],X_CH4_0.25Mn [%],X_CO2_0.25 Mn [%],Coke_0.25Mn [w%],,TOS_0.25Mn_2 [h],X_CH4_0.25Mn_2 [%],X_CO2_0.25 Mn_2 [%],Coke_0.25Mn_2 [w%],,TOS_1Cr [h],X_CH4_1Cr [%],X_CO2_1Cr [%],Coke_1Cr [w%],,TOS_1Cr_2 [h],X_CH4_1Cr_2 [%],X_CO2_1Cr_2 [%],Coke_1Cr_2 [w%],,TOS-0.5Cr [h],X_CH4_0.5Cr [%],X_CO2_0.5Cr [%],Coke_0.5Cr [w%],,TOS-0.5Cr_2 [h],X_CH4_0.5Cr_2 [%],X_CO2_0.5Cr_2 [%],Coke_0.5Cr_2 [w%],,TOS_0.25Cr [h],X_CH4_0.25Cr [%],X_CO2_0.25Cr [%],Coke_0.25Cr [w%],,TOS_0.25Cr_2 [h],X_CH4_0.25Cr_2 [%],X_CO2_0.25Cr_2 [%],Coke_0.25Cr_2 [w%],,TOS_1Fe [h],X_CH4_1Fe [%],X_CO2_1Fe [%],Coke_1Fe [w%],,TOS_1Fe_2 [h],X_CH4_1Fe_2 [%],X_CO2_1Fe_2 [%],Coke_1Fe_2 [w%],,TOS_0.5Fe [h],X_CH4_0.5Fe [%],X_CO2_0.5Fe [%],Coke_0.5Fe [w%],,TOS_0.5Fe_2 [h],X_CH4_0.5Fe_2 [%],X_CO2_0.5Fe_2 [%],Coke_0.5Fe_2 [w%],,TOS_0.25Fe [h],X_CH4_0.25Fe [%],X_CO2_0.25Fe [%],Coke_0.25Fe [w%],,TOS_0.25Fe_2 [h],X_CH4_0.25Fe_2 [%],X_CO2_0.25Fe_2 [%],Coke_0.25Fe_2 [w%]
2.91583,29.58631,41.6561,,,2.91556,28.80796,39.51531,,,2.91556,38.55136,50.17112,,,2.91583,32.32396,43.73631,,,2.91556,42.72763,54.95889,,,2.91528,39.32086,50.83231,,,2.91556,35.7091,46.516,,,2.91583,36.83476,48.45603,,,2.91611,35.92687,47.45625,,,2.91556,36.50718,47.89044,,,2.91556,38.05585,49.38009,,,2.91556,38.18129,49.53764,,,2.91556,34.2042,45.92751,,,2.91556,39.99835,51.615,,,2.91556,30.47897,43.49382,,,2.91583,26.53448,39.4253,,,2.91583,42.56446,55.11395,,,2.91556,39.23504,51.68325,,,2.91556,42.28626,54.44432,,,2.91528,44.12216,56.08933,
3.05722,29.81502,41.53674,,,3.05694,28.30784,39.47998,,,3.05722,38.45002,49.96078,,,3.05694,32.26541,43.69983,,,3.0575,42.60704,55.0402,,,3.05694,39.11196,50.77809,,,3.0575,35.61785,46.49569,,,3.0575,36.54951,48.28498,,,3.05778,35.84125,47.4047,,,3.05722,36.31928,47.8007,,,3.05694,37.88628,49.25165,,,3.05722,37.89985,49.01694,,,3.05722,34.17518,45.4506,,,3.0575,39.31202,51.23509,,,3.05694,30.55526,43.38368,,,3.0575,26.55054,39.5162,,,3.0575,42.55647,55.16904,,,3.05722,38.76173,51.58885,,,3.05722,41.93247,54.00968,,,3.05694,44.0296,56.12046,
3.19889,29.57798,41.11922,,,3.19861,28.23522,38.97764,,,3.19889,38.32598,50.03854,,,3.19861,32.14261,43.41768,,,3.19889,42.46583,54.87276,,,3.19917,39.09555,50.82225,,,3.19917,35.43273,46.28838,,,3.19889,36.48996,48.02629,,,3.19889,35.83446,47.09408,,,3.19861,36.22604,47.49985,,,3.19861,37.70544,48.866,,,3.19889,37.53863,48.76716,,,3.19889,33.83969,45.22782,,,3.19889,39.43392,51.0257,,,3.19861,30.51229,43.83889,,,3.19889,26.62627,39.50564,,,3.19917,42.49432,55.12862,,,3.19861,39.02394,51.54247,,,3.19889,41.6453,53.90167,,,3.19833,43.98747,55.91001,
3.34028,29.2447,40.84063,,,3.34028,28.05447,38.69334,,,3.34056,38.21845,49.93336,,,3.34,32.13425,43.33613,,,3.34056,42.45465,54.87329,,,3.34028,38.50278,50.90555,,,3.34056,35.13976,45.91721,,,3.34056,36.30857,47.82967,,,3.34056,35.51665,47.04655,,,3.34028,36.06988,47.47982,,,3.34,37.68835,48.9703,,,3.34056,37.51815,48.53419,,,3.34056,33.76034,45.01753,,,3.34028,39.30792,50.94445,,,3.34028,30.56297,43.66557,,,3.34056,26.72487,39.58893,,,3.34056,42.42552,55.10262,,,3.34028,39.09549,51.29745,,,3.34028,41.54475,53.88078,,,3.34,43.79346,55.87562,
3.48194,29.22409,40.43374,,,3.48194,27.79869,38.66597,,,3.48194,38.24637,49.8342,,,3.48167,31.97292,43.28724,,,3.48194,42.38774,54.65153,,,3.48222,38.9079,50.81861,,,3.48194,35.09683,45.92136,,,3.4825,36.1455,47.80361,,,3.4825,35.4509,46.86161,,,3.48194,35.85565,47.33151,,,3.48194,37.08969,48.50592,,,3.48222,37.28948,48.48308,,,3.48194,33.50763,44.97538,,,3.48194,39.09735,50.8084,,,3.48194,30.64786,43.83354,,,3.48194,26.75643,39.51689,,,3.48222,42.6051,55.11884,,,3.48167,39.11478,51.4419,,,3.48222,41.85804,53.72192,,,3.48167,43.85507,55.79513,
3.62361,28.91763,40.56668,,,3.62333,27.75642,38.31689,,,3.62361,38.22327,49.83615,,,3.62361,31.9857,43.14561,,,3.62389,42.29265,54.60175,,,3.62333,38.88487,50.59279,,,3.62389,34.8309,45.41308,,,3.62417,36.0477,47.66909,,,3.62389,35.35661,46.67206,,,3.62389,35.50723,47.08788,,,3.62333,36.77337,47.87565,,,3.62361,37.13568,48.56677,,,3.62361,33.42184,44.67047,,,3.62333,38.92778,50.71074,,,3.62389,30.66736,43.82106,,,3.62361,26.7925,39.83726,,,3.62417,42.36145,55.02906,,,3.62389,39.09398,51.45765,,,3.62389,41.50777,53.83969,,,3.62333,43.6736,55.67078,
3.76528,28.44712,40.14174,,,3.765,27.62316,37.95614,,,3.76556,38.16216,49.70004,,,3.76528,31.73856,43.14489,,,3.76528,42.22705,54.68634,,,3.765,38.83735,50.60547,,,3.76528,34.63325,45.08211,,,3.76556,35.76805,47.57944,,,3.76528,35.15424,46.6439,,,3.76528,35.16466,46.71131,,,3.765,36.56457,47.93143,,,3.765,36.9923,48.28305,,,3.765,33.29185,44.62585,,,3.765,38.86993,50.57145,,,3.765,30.74429,43.69852,,,3.76528,26.82255,39.687,,,3.76556,42.54474,55.23045,,,3.765,39.04445,51.37286,,,3.76528,41.39937,53.75328,,,3.765,43.8196,55.73548,
3.90667,28.43141,40.00139,,,3.90667,27.24776,37.96086,,,3.90694,38.02692,49.63825,,,3.90667,31.89329,43.0257,,,3.90667,42.18253,54.51375,,,3.90667,38.90802,50.56756,,,3.90722,34.45313,45.21534,,,3.90694,35.70355,47.3645,,,3.90694,34.94356,46.38536,,,3.90694,35.1503,46.57866,,,3.90667,36.67064,47.74998,,,3.90694,36.94966,48.13953,,,3.90694,33.07519,44.14325,,,3.90667,38.64537,50.37343,,,3.90667,30.80103,43.80015,,,3.90667,26.77519,39.74807,,,3.90694,42.41746,54.99701,,,3.90667,38.96236,51.20982,,,3.90694,41.38797,53.71788,,,3.90667,43.61652,55.66134,
4.04833,28.32571,39.92069,,,4.04806,27.20174,37.53785,,,4.04861,38.01157,49.6012,,,4.04833,31.6494,43.06108,,,4.04833,42.19236,54.45412,,,4.04833,38.49106,50.58246,,,4.04861,34.38026,44.96716,,,4.04861,35.48808,47.08102,,,4.04861,35.00691,46.32374,,,4.04889,34.9908,46.34782,,,4.04833,36.46782,47.7372,,,4.04833,36.78214,47.96726,,,4.04833,32.88105,44.24478,,,4.04861,38.50279,50.22777,,,4.04861,30.81271,43.80839,,,4.04889,26.85527,39.76881,,,4.04833,42.5307,55.0837,,,4.04861,38.95786,51.31944,,,4.04889,41.29269,53.52218,,,4.04833,43.41251,55.54707,
4.19,27.62223,39.07718,,,4.18972,26.86165,37.34965,,,4.19056,37.9266,49.59663,,,4.19,31.5638,42.85384,,,4.19,42.0782,54.40867,,,4.19,38.62013,50.33753,,,4.19,34.26898,44.97414,,,4.19,35.32241,47.00488,,,4.19028,34.74956,46.07983,,,4.19,34.80308,46.17242,,,4.19,36.37044,47.67562,,,4.19,36.67285,47.90868,,,4.19028,32.60911,44.16764,,,4.19028,38.50506,50.16796,,,4.19028,30.80566,43.8807,,,4.19028,26.87735,39.74754,,,4.19,42.35036,55.05303,,,4.19,38.87013,51.26507,,,4.19028,41.32447,53.35642,,,4.19,43.52217,55.52173,
