TOS_30H2_CO2 [h],X_CH4_30H2_CO2 [%],X_CO2_30H2_CO2 [%],,TOS_4CO2 [h],X_CH4_4CO2 [%],X_CO2_4CO2 [%],,TOS_30CO2 [h],X_CH4_30CO2 [%],X_CO2_30CO2 [%],,TOS_60CO2 [h],X_CH4_60CO2 [%],X_CO2_60CO2 [%]
11.12917,24.34347,34.95021,,11.12889,24.68262,35.12954,,11.12889,25.03734,35.45057,,11.12889,27.56245,38.20086
11.27083,24.30106,34.99884,,11.27083,24.5316,34.9728,,11.27028,24.8552,35.41119,,11.27028,27.39244,38.07104
11.41194,24.28764,35.06672,,11.4125,24.69359,35.02541,,11.41194,24.89518,35.45324,,11.41194,27.41441,38.1528
11.55361,24.30481,34.85723,,11.55361,24.5919,34.91831,,11.55361,24.76105,35.46827,,11.55389,27.41119,38.15112
11.69556,24.21528,34.84856,,11.69528,24.51701,35.08446,,11.69556,24.77126,35.4479,,11.69528,27.32081,37.98988
11.83694,24.10165,34.73915,,11.83694,24.53511,35.01318,,11.83694,24.79835,35.36474,,11.83694,27.26309,38.01399
11.97833,24.27248,34.72865,,11.97861,24.53072,34.96994,,11.97861,24.73178,35.39019,,11.97889,27.19792,37.91886
12.12,24.05853,34.6722,,12.12,24.48687,34.8444,,12.12028,24.68329,35.20694,,12.12028,27.16366,37.92393
12.26167,24.15672,34.71218,,12.26167,24.41055,34.75554,,12.26194,24.58482,35.08751,,12.26194,27.07779,38.02595
12.40333,24.04924,34.70939,,12.40333,24.37772,34.98906,,12.40333,24.75367,35.13676,,12.40361,27.19303,37.93815
12.54528,23.90737,34.58883,,12.545,24.41685,34.60812,,12.54528,24.59524,34.98422,,12.545,27.09301,37.86389
12.68639,23.9721,34.50853,,12.68667,24.29587,34.70315,,12.68667,24.57458,34.98843,,12.68667,26.91658,37.77879
12.82806,23.87816,34.50057,,12.82833,24.20413,34.6613,,12.82861,24.39835,35.00575,,12.82861,27.012,37.75922
12.96972,23.83017,34.45456,,12.97,24.12089,34.67847,,12.97,24.44065,35.09002,,12.96972,27.01901,37.84305
13.11139,23.82757,34.43113,,13.11167,24.3057,34.43253,,13.11167,24.48436,35.17541,,13.11167,26.91554,37.75492
13.25278,23.83377,34.51596,,13.25333,24.21255,34.54518,,13.25306,24.40691,34.89872,,13.25333,26.93893,37.68442
