Tipo,TOS [h],X_CH4 [%],X_CO2 [%]
1Mn,12.40333,35.57048,47.09312
1Mn,12.545,35.20612,47.14836
1Mn,12.68667,35.48995,46.90952
1Mn,12.82833,35.12431,47.01144
1Mn,12.97,35.1865,47.12277
1Mn,13.11167,35.26621,46.84846
1Mn,13.25306,35.20674,46.8199
1Mn,13.395,35.15162,46.75424
1Mn,13.53639,35.09174,46.67992
1Mn,13.67806,35.06523,46.89605
1Mn,13.81944,35.11606,46.6999
1Mn,13.96111,35.01845,46.68423
1Mn,14.10278,34.90204,46.51133
1Mn,14.24472,35.00956,46.5949
1Mn,14.38611,34.89723,46.58047
1Mn,14.52778,34.7511,46.5725
1Mn,14.66944,34.95901,46.41858
1Mn,14.81083,34.79019,46.44287
1Mn,14.9525,34.60872,46.54711
1Mn,15.09417,34.89546,46.39678
1Mn,15.23583,34.77948,46.4178
1Mn,15.37722,34.72118,46.40706
1Mn,15.51889,34.59699,46.29942
1Mn,15.66056,34.61095,46.17646
1Mn,15.8025,34.65883,46.13742
1Mn,15.94389,34.58068,46.17416
1Mn,16.08556,34.60017,46.20761
1Mn,16.22694,34.53115,46.09943
1Mn,16.36861,34.38599,46.08241
1Mn,16.51028,34.43816,46.16052
1Mn,16.65222,34.3503,45.95918
1Mn,16.79361,34.41459,46.02722
1Mn,16.93528,34.33837,45.8964
1Mn,17.07694,34.3897,45.98775
1Mn,17.21833,34.21099,45.85563
1Mn,17.35972,34.22817,45.97497
1Mn,17.50167,34.16911,45.76585
1Mn,17.64306,34.28317,45.74817
1Mn,17.785,34.23982,45.78988
1Mn,17.92639,34.07456,45.7621
1Mn,18.06778,34.04916,45.68845
1Mn,18.20944,34.15,45.59538
1Mn,18.35083,34.01112,45.64945
1Mn,18.4925,34.04583,45.62209
1Mn,18.63417,34.00751,45.55498
1Mn,18.77611,33.84682,45.61636
1Mn,18.9175,33.93459,45.54626
1Mn,19.05917,33.90176,45.59041
1Mn,19.20083,33.80984,45.48793
1Mn,19.3425,33.79599,45.3658
1Mn,19.48417,33.87879,45.49201
1Mn,19.62556,33.82511,45.30357
1Mn,19.7675,33.74019,45.42554
1Mn,19.90861,33.86221,45.23141
1Mn,20.05056,33.74013,45.08823
1Mn,20.19222,33.87302,45.17399
1Mn,20.33389,33.6828,45.15488
1Mn,20.47528,33.70097,45.13018
1Mn,20.61667,33.55534,45.21979
1Mn,20.75861,33.56395,45.12044
1Mn,20.9,33.66129,45.15533
1Mn,21.04194,33.48946,45.10209
1Mn,21.18333,33.37231,44.97112
1Mn,21.32472,33.53028,45.01089
1Mn,21.46667,33.38716,44.95279
1Mn,21.60833,33.27033,44.94715
1Mn,21.75,33.41033,44.86822
1Mn,21.89111,33.4376,44.92249
1Mn,22.03278,33.26886,44.91017
1Mn,22.175,33.18907,44.96391
1Mn,22.31667,33.14854,44.78938
1Mn,22.45778,33.22928,44.74463
1Mn,22.59944,33.24912,44.76865
1Mn,22.74083,33.2784,44.7731
1Mn,22.8825,33.13951,44.65421
1Mn,23.02444,33.14135,44.69305
1Mn,23.16611,33.03783,44.73324
1Mn,23.3075,33.02324,44.61729
1Mn,23.44917,32.99508,44.49969
1Mn,23.59083,32.98187,44.49261
1Mn,23.73222,32.97951,44.54431
0.5Mn,0.08333,45.81143,57.83993
0.5Mn,0.22472,45.42341,57.54886
0.5Mn,0.36639,45.32335,57.1538
0.5Mn,0.50833,45.31006,57.0527
0.5Mn,0.65,44.57415,56.71333
0.5Mn,0.79167,44.33909,56.5788
0.5Mn,0.93333,44.46754,56.36439
0.5Mn,1.07444,44.25075,56.18363
0.5Mn,1.21611,44.17951,56.14477
0.5Mn,1.35806,43.99154,56.06874
0.5Mn,1.49917,43.93123,56.02329
0.5Mn,1.64083,43.53579,55.71862
0.5Mn,1.7825,43.28739,55.71048
0.5Mn,1.92417,43.26268,55.69123
0.5Mn,2.06583,43.09759,55.37067
0.5Mn,2.2075,43.15283,55.43515
0.5Mn,2.34917,43.0406,55.41369
0.5Mn,2.49111,42.96772,55.23302
0.5Mn,2.63222,42.86556,55.1825
0.5Mn,2.77417,42.78081,54.98837
0.5Mn,2.91556,42.72763,54.95889
0.5Mn,3.0575,42.60704,55.0402
0.5Mn,3.19889,42.46583,54.87276
0.5Mn,3.34056,42.45465,54.87329
0.5Mn,3.48194,42.38774,54.65153
0.5Mn,3.62389,42.29265,54.60175
0.5Mn,3.76528,42.22705,54.68634
0.5Mn,3.90667,42.18253,54.51375
0.5Mn,4.04833,42.19236,54.45412
0.5Mn,4.19,42.0782,54.40867
0.5Mn,4.33139,41.95972,54.29703
0.5Mn,4.47306,41.91843,54.15515
0.5Mn,4.61472,41.82741,54.1115
0.5Mn,4.75639,41.8004,54.08538
0.5Mn,4.89806,41.79181,54.00873
0.5Mn,5.03972,41.64357,53.8719
0.5Mn,5.18139,41.59255,53.9183
0.5Mn,5.32306,41.47888,53.72353
0.5Mn,5.46472,41.48979,53.81694
0.5Mn,5.60611,41.41879,53.56861
0.5Mn,5.74806,41.44474,53.6946
0.5Mn,5.88917,41.2957,53.56933
0.5Mn,6.03111,41.31948,53.66252
0.5Mn,6.17278,41.12847,53.49827
0.5Mn,6.31417,41.04298,53.44639
0.5Mn,6.45556,41.05943,53.4301
0.5Mn,6.59722,41.07307,53.35225
0.5Mn,6.73889,40.87467,53.22858
0.5Mn,6.88056,40.83017,53.13812
0.5Mn,7.02194,40.85995,53.31756
0.5Mn,7.16361,40.88795,53.21053
0.5Mn,7.30528,40.8024,53.04297
0.5Mn,7.44694,40.75328,53.02631
0.5Mn,7.58861,40.75136,53.13189
0.5Mn,7.73028,40.62658,52.88177
0.5Mn,7.87194,40.59071,52.85071
0.5Mn,8.01361,40.52534,52.83522
0.5Mn,8.155,40.40079,52.93181
0.5Mn,8.29694,40.50508,52.77044
0.5Mn,8.43861,40.33081,52.67449
0.5Mn,8.57972,40.37391,52.57185
0.5Mn,8.72139,40.29321,52.49361
0.5Mn,8.86306,40.28423,52.47275
0.5Mn,9.00472,40.03019,52.54083
0.5Mn,9.14611,40.18472,52.56463
0.5Mn,9.28806,40.15543,52.24614
0.5Mn,9.43,40.19006,52.28688
0.5Mn,9.57111,40.10675,52.29539
0.5Mn,9.71278,39.97862,52.34221
0.5Mn,9.85444,39.93909,52.20768
0.5Mn,9.99583,39.91341,51.99492
0.5Mn,10.1375,39.86846,52.03038
0.5Mn,10.27917,39.77226,51.9945
0.5Mn,10.42083,39.77066,51.93737
0.5Mn,10.5625,39.64449,51.95857
0.5Mn,10.70417,39.62537,51.98763
0.5Mn,10.84583,39.5538,51.91185
0.5Mn,10.9875,39.71037,51.83124
0.5Mn,11.12889,39.558,51.76111
0.5Mn,11.27056,39.59116,51.68113
0.5Mn,11.41194,39.52685,51.72616
0.5Mn,11.55361,39.4585,51.69303
0.5Mn,11.69528,39.46244,51.68008
0.5Mn,11.83667,39.37582,51.51273
0.5Mn,11.97833,39.36291,51.5815
0.5Mn,12.12,39.30182,51.68828
0.5Mn,12.26194,39.20914,51.46105
0.5Mn,12.40333,39.25584,51.45091
0.5Mn,12.545,39.14636,51.24423
0.5Mn,12.68667,39.09092,51.2996
0.5Mn,12.82833,39.08274,51.14865
0.5Mn,12.97,38.98426,51.19092
0.5Mn,13.11167,39.04888,51.11688
0.5Mn,13.25333,38.93004,51.27778
0.5Mn,13.395,38.8575,51.18951
0.5Mn,13.53639,38.84194,51.25114
0.5Mn,13.67778,38.95123,51.02083
0.5Mn,13.81944,38.80127,50.95545
0.5Mn,13.96083,38.70165,50.92339
0.5Mn,14.10278,38.79076,50.91508
0.5Mn,14.24444,38.69597,50.86941
0.5Mn,14.38583,38.59981,50.84634
0.5Mn,14.5275,38.65054,50.86905
0.5Mn,14.66917,38.58923,50.74116
0.5Mn,14.81083,38.56048,50.76063
0.5Mn,14.95222,38.52078,50.67722
0.5Mn,15.09389,38.48023,50.76607
0.5Mn,15.23556,38.5034,50.56212
0.5Mn,15.3775,38.42401,50.58245
0.5Mn,15.51861,38.36007,50.64403
0.5Mn,15.66028,38.33228,50.60292
0.5Mn,15.80194,38.2395,50.51668
0.5Mn,15.94361,38.30913,50.42003
0.5Mn,16.08528,38.28566,50.27498
0.5Mn,16.22694,38.2486,50.2595
0.5Mn,16.36861,38.11672,50.43836
0.5Mn,16.51028,38.07648,50.45483
0.5Mn,16.65194,38.06084,50.42301
