Tipo,TOS_30H2_CO2 [h],X_CH4_30H2_CO2 [%],X_CO2_30H2_CO2 [%]
4CO2_C2,38.24444,26.43482,36.9309
4CO2_C2,38.38583,26.50096,36.83767
4CO2_C2,38.5275,26.52667,37.0367
4CO2_C2,38.66944,26.45021,36.95392
4CO2_C2,38.81111,26.43668,36.67718
4CO2_C2,38.95278,26.44476,36.83053
4CO2_C2,39.09389,26.39722,36.76539
4CO2_C2,39.23556,26.417,36.8275
4CO2_C2,39.37722,26.2981,36.63124
4CO2_C2,39.51861,26.34289,36.78565
4CO2_C2,39.66028,26.4186,36.72302
4CO2_C2,39.80194,26.31559,36.70595
4CO2_C2,39.94361,26.30611,36.69382
4CO2_C2,40.08556,26.24732,36.67173
4CO2_C2,40.22694,26.23819,36.68584
4CO2_C2,40.36889,26.35149,36.57396
4CO2_C2,40.51028,26.23034,36.67884
4CO2_C2,40.65167,26.17768,36.47078
4CO2_C2,40.79333,26.18791,36.63371
4CO2_C2,40.935,26.16664,36.66491
4CO2_C2,41.07694,26.16369,36.53984
4CO2_C2,41.21833,26.11528,36.61783
4CO2_C2,41.35972,26.18792,36.51709
4CO2_C2,41.50139,26.04912,36.41501
4CO2_C2,41.64306,26.1567,36.44549
4CO2_C2,41.78472,26.02784,36.49372
4CO2_C2,41.92639,26.05582,36.30763
4CO2_C2,42.06778,26.07619,36.33286
4CO2_C2,42.20944,25.97469,36.36294
4CO2_C2,42.35139,25.9953,36.37134
4CO2_C2,42.49306,25.99834,36.2469
4CO2_C2,42.63444,25.91366,36.16067
4CO2_C2,42.77583,25.97773,36.31043
4CO2_C2,42.9175,25.98837,36.43406
4CO2_C2,43.05944,25.96298,36.2496
4CO2_C2,43.20111,25.90678,36.17732
4CO2_C2,43.3425,25.92493,36.1506
4CO2_C2,43.48417,25.92613,36.23168
4CO2_C2,43.62556,25.94233,36.17725
4CO2_C2,43.76722,25.90931,36.16747
4CO2_C2,43.90861,25.83597,36.16279
4CO2_C2,44.05028,25.82187,36.16896
4CO2_C2,44.19194,25.77789,36.14236
4CO2_C2,44.33361,25.82655,35.99523
4CO2_C2,44.47528,25.81769,36.18775
4CO2_C2,44.61667,25.76016,36.1925
4CO2_C2,44.75833,25.72846,36.02233
4CO2_C2,44.90028,25.70349,36.06972
4CO2_C2,45.04194,25.78728,36.04453
4CO2_C2,45.18361,25.8181,35.95056
4CO2_C2,45.325,25.69029,36.02986
4CO2_C2,45.46667,25.62689,35.80551
4CO2_C2,45.60806,25.66789,35.98947
4CO2_C2,45.75,25.65427,36.01832
4CO2_C2,45.89167,25.64788,35.85298
4CO2_C2,46.03333,25.60921,35.9071
4CO2_C2,46.17472,25.63073,35.83028
4CO2_C2,46.31611,25.68274,35.7914
4CO2_C2,46.45778,25.69932,35.83607
4CO2_C2,46.59917,25.69965,35.84838
4CO2_C2,46.74083,25.63124,35.94773
4CO2_C2,46.88278,25.48422,35.78067
4CO2_C2,47.02444,25.46189,35.73293
4CO2_C2,47.16556,25.565,35.71516
4CO2_C2,47.3075,25.61831,35.73402
4CO2_C2,47.44917,25.5243,35.99155
4CO2_C2,47.59056,25.50168,35.65202
4CO2_C2,47.73222,25.5565,35.81513
4CO2_C2,47.87389,25.46031,35.79943
30CO2_C2,24.58333,-0.1491,-0.1415
30CO2_C2,24.72472,-0.13528,-0.1173
30CO2_C2,24.86611,-0.16024,0.06447
30CO2_C2,25.00806,-0.03962,-0.04935
30CO2_C2,25.14972,-0.32604,0.19485
30CO2_C2,25.29139,-0.45594,0.27194
30CO2_C2,25.43306,-0.0672,-0.10443
30CO2_C2,25.57417,-0.03473,0.31317
30CO2_C2,25.71583,0.48838,1.50972
30CO2_C2,25.8575,1.32951,2.9306
30CO2_C2,25.99944,2.23833,4.88528
30CO2_C2,26.14083,3.3277,6.8172
30CO2_C2,26.2825,3.9815,8.18997
30CO2_C2,26.42417,4.72048,9.64701
30CO2_C2,26.56611,5.33844,10.68426
30CO2_C2,26.70722,5.85636,11.41071
30CO2_C2,26.84889,6.26208,12.3427
