TOS_REF[h],X_CH4_REF [%],X_CO2_REF [%],,TOS_1Mn [h],X_CH4_1Mn [%],X_CO2_1Mn [%],,TOS_0.5Mn [h],X_CH4_0.5Mn [%],X_CO2_0.5Mn [%],,TOS_0.25Mn [h],X_CH4_0.25Mn [%],X_CO2_0.25 Mn [%],,TOS_1Cr [h],X_CH4_1Cr [%],X_CO2_1Cr [%],,TOS-0.5Cr [h],X_CH4_0.5Cr [%],X_CO2_0.5Cr [%],,TOS_0.25Cr [h],X_CH4_0.25Cr [%],X_CO2_0.25Cr [%],,TOS_1Fe [h],X_CH4_1Fe [%],X_CO2_1Fe [%],,TOS_0.5Fe [h],X_CH4_0.5Fe [%],X_CO2_0.5Fe [%],,TOS_0.25Fe [h],X_CH4_0.25Fe [%],X_CO2_0.25Fe [%]
4.33194,27.8045,38.478,,4.33167,36.08748,47.64566,,4.33167,34.95997,46.59517,,4.33194,35.29919,46.20624,,4.33167,37.65367,49.8078,,4.33194,33.62441,45.55823,,4.33167,35.94917,46.66415,,4.33167,29.53049,43.01932,,4.33194,41.05306,53.752,,4.33194,42.24139,54.45125
4.47361,27.48983,38.30013,,4.47333,36.10702,47.61534,,4.47333,34.9486,46.59706,,4.47361,34.60051,45.69962,,4.47333,37.62943,49.7033,,4.47361,33.69449,45.39776,,4.47333,35.78365,46.49531,,4.47333,29.66764,43.16663,,4.47333,41.21784,53.6627,,4.47361,42.2346,54.54373
4.61472,27.40182,38.30904,,4.615,36.0772,47.55068,,4.615,34.80653,46.44229,,4.61528,34.44752,45.49016,,4.615,37.46397,49.80396,,4.615,33.19362,45.12427,,4.61472,35.7792,46.43792,,4.61472,29.62671,43.21388,,4.61472,41.12472,53.86991,,4.61528,42.08441,54.44752
4.75639,27.40801,37.94557,,4.75611,36.0004,47.64873,,4.75694,34.80838,46.52307,,4.75694,34.40507,45.31231,,4.75667,37.26267,49.28721,,4.75639,33.23861,44.81522,,4.75639,35.58803,46.33434,,4.75639,29.66988,43.18537,,4.75639,41.09354,53.76217,,4.75667,42.1241,54.29586
4.89806,27.37901,38.00614,,4.89778,35.9697,47.49478,,4.89833,34.6507,46.46243,,4.89833,34.35083,45.3031,,4.89833,37.24733,49.27343,,4.89806,32.75736,44.93904,,4.89833,35.52336,46.23466,,4.89806,29.69407,43.05882,,4.89833,41.13663,53.81643,,4.89833,41.99583,54.3218
5.03944,27.19366,37.92092,,5.03944,35.5613,47.22062,,5.04,34.77203,46.3405,,5.04028,34.19385,45.17357,,5.03944,37.18626,49.35389,,5.04,33.14762,44.61653,,5.04,35.32883,46.2106,,5.03944,29.75872,43.21355,,5.03972,41.05635,53.74927,,5.04,41.87921,54.35073
5.18111,27.09902,37.80765,,5.18111,35.43331,47.40048,,5.18139,34.54485,46.33928,,5.18194,34.14132,44.98969,,5.18139,37.02591,49.25571,,5.18139,32.96086,44.58362,,5.18167,35.28325,45.93038,,5.18111,29.77473,43.19052,,5.18139,41.15882,53.82253,,5.18167,41.94111,54.26708
5.32278,26.99287,37.68907,,5.32278,35.44989,47.10624,,5.32306,34.4816,46.14916,,5.32306,34.01582,45.01443,,5.32306,36.9565,49.22389,,5.32278,32.72959,44.4169,,5.32306,35.1372,45.95505,,5.32278,29.77072,43.19147,,5.32278,41.03529,53.70566,,5.32333,41.93673,54.19718
5.46472,26.92089,37.70793,,5.46444,35.50801,47.06358,,5.46472,34.43215,46.00116,,5.46472,33.83883,44.68635,,5.46472,36.93035,49.08604,,5.46444,32.45756,44.49471,,5.46444,35.02295,45.8102,,5.46444,29.79162,43.19281,,5.46472,41.07225,53.72491,,5.46472,41.88252,54.11686
5.60611,26.90063,37.52779,,5.60639,35.44922,47.08068,,5.60639,34.38151,46.05373,,5.60639,33.79168,44.76933,,5.60639,36.9197,48.92524,,5.60611,32.47837,44.3119,,5.60611,34.97483,45.70988,,5.60639,29.85964,43.28678,,5.60611,40.99343,53.75824,,5.60611,41.83462,54.11883
