TOS [min],c_CO2 [vol%],c_CO [vol%],Degree of oxidation [%]
20.33333,9.38824,0.0996,63.19183
20.41667,9.36851,0.09245,63.27863
20.5,9.36294,0.0899,63.36105
20.58333,9.3815,0.09343,63.44391
20.66667,9.376,0.09263,63.52801
20.75,9.36649,0.09166,63.6113
20.83333,9.37906,0.09456,63.69546
20.91667,9.38308,0.0929,63.78018
21,9.38552,0.09265,63.86404
21.08333,9.36627,0.08957,63.9464
21.16667,9.38826,0.09807,64.0312
21.25,9.38141,0.09375,64.1179
21.33333,9.36266,0.08513,64.19875
21.41667,9.37991,0.09025,64.27801
21.5,9.39177,0.09531,64.36188
21.58333,9.38208,0.0942,64.44753
21.66667,9.36795,0.09021,64.53088
21.75,9.3651,0.08575,64.61041
21.83333,9.39191,0.09385,64.69158
21.91667,9.38134,0.09368,64.77634
22,9.35529,0.08715,64.85807
22.08333,9.38137,0.09177,64.93894
22.16667,9.3867,0.09043,65.02129
22.25,9.38282,0.08955,65.10263
22.33333,9.38433,0.09088,65.18418
22.41667,9.38736,0.09119,65.26647
22.5,9.37364,0.08801,65.34746
22.58333,9.41623,0.0997,65.4323
22.66667,9.39919,0.09345,65.5196
22.75,9.38853,0.09338,65.60405
22.83333,9.38437,0.09029,65.68706
22.91667,9.38658,0.08946,65.7683
23,9.38464,0.08837,65.84868
23.08333,9.37355,0.08696,65.92792
23.16667,9.37855,0.08921,66.00755
23.25,9.39545,0.09338,66.09007
23.33333,9.38503,0.08862,66.17233
23.41667,9.36732,0.08474,66.25068
23.5,9.40535,0.09341,66.3312
23.58333,9.39776,0.09287,66.41539
23.66667,9.39478,0.09191,66.4989
23.75,9.36304,0.08157,66.57731
23.83333,9.37878,0.08602,66.65306
23.91667,9.41962,0.09821,66.73632
24,9.41718,0.09605,66.82412
24.08333,9.38,0.08735,66.90701
24.16667,9.39019,0.08996,66.98715
24.25,9.39725,0.0907,67.0688
24.33333,9.39851,0.09207,67.15141
24.41667,9.38748,0.08667,67.23219
24.5,9.39725,0.08861,67.31141
24.58333,9.39,0.08828,67.39135
24.66667,9.3917,0.08928,67.4716
24.75,9.36434,0.08013,67.54816
24.83333,9.39263,0.08876,67.6245
24.91667,9.36694,0.0798,67.70068
25,9.39559,0.09006,67.77745
25.08333,9.36993,0.07977,67.85421
25.16667,9.37137,0.08161,67.92714
25.25,9.3965,0.08889,68.0042
25.33333,9.39297,0.08569,68.08311
25.41667,9.39045,0.08588,68.16065
25.5,9.37163,0.08102,68.23609
25.58333,9.37315,0.08018,68.30895
25.66667,9.41749,0.09446,68.38788
25.75,9.38727,0.08497,68.46898
25.83333,9.39803,0.08781,68.54706
25.91667,9.40573,0.08884,68.6269
26,9.40314,0.08881,68.70719
26.08333,9.37853,0.08124,68.78405
26.16667,9.39762,0.08589,68.85959
26.25,9.39262,0.08367,68.93622
26.33333,9.39518,0.0853,69.01259
26.41667,9.38289,0.08347,69.08887
26.5,9.40179,0.08954,69.16707
26.58333,9.38864,0.08377,69.2454
26.66667,9.37772,0.07868,69.31882
26.75,9.36924,0.077,69.38919
26.83333,9.39724,0.08361,69.46178
26.91667,9.38553,0.08331,69.53722
27,9.36063,0.0752,69.60886
27.08333,9.38214,0.08164,69.67974
27.16667,9.39071,0.08368,69.75446
27.25,9.40766,0.08635,69.83131
27.33333,9.39672,0.08575,69.9091
27.41667,9.38255,0.0809,69.98442
27.5,9.39595,0.08525,70.05951
27.58333,9.40763,0.08492,70.13642
27.66667,9.38768,0.07821,70.21015
27.75,9.40774,0.0852,70.28401
27.83333,9.3977,0.08233,70.35973
27.91667,9.37333,0.0763,70.43142
28,9.39939,0.0827,70.50328
28.08333,9.38749,0.08044,70.57702
28.16667,9.40593,0.08429,70.65147
28.25,9.41258,0.08678,70.72878
28.33333,9.38751,0.07988,70.80411
28.41667,9.38428,0.07979,70.87627
28.5,9.38108,0.07795,70.94756
28.58333,9.38467,0.0762,71.01723
28.66667,9.3886,0.07912,71.08743
28.75,9.41386,0.08598,71.16205
28.83333,9.4306,0.09142,71.24223
28.91667,9.40369,0.08238,71.32078
29,9.37737,0.07612,71.39242
29.08333,9.42004,0.08749,71.46637
29.16667,9.40166,0.08093,71.54248
29.25,9.39627,0.07992,71.61518
29.33333,9.42187,0.08696,71.69061
29.41667,9.40309,0.08376,71.76777
29.5,9.39713,0.07925,71.84144
29.58333,9.4034,0.08132,71.91401
29.66667,9.39537,0.08045,71.98713
29.75,9.39841,0.08021,72.05974
29.83333,9.39942,0.07898,72.13169
29.91667,9.39956,0.07759,72.20246
30,9.38811,0.07676,72.27222
30.08333,9.40461,0.07854,72.34241
30.16667,9.41232,0.08275,72.41531
30.25,9.38389,0.07683,72.48743
30.33333,9.40081,0.07859,72.55768
30.41667,9.40188,0.07938,72.62908
30.5,9.40939,0.08055,72.70136
30.58333,9.38855,0.07745,72.77278
30.66667,9.41507,0.08116,72.84447
30.75,9.38946,0.07448,72.91481
30.83333,9.38371,0.07149,72.98078
30.91667,9.42393,0.0855,73.05174
31,9.40674,0.08175,73.12733
31.08333,9.40594,0.0775,73.19931
31.16667,9.42492,0.08448,73.27252
31.25,9.37603,0.07335,73.34385
31.33333,9.40516,0.08006,73.41319
31.41667,9.40891,0.07822,73.48472
31.5,9.39796,0.07665,73.55472
31.58333,9.39967,0.07783,73.62454
31.66667,9.39546,0.07636,73.69423
31.75,9.38439,0.07322,73.76183
31.83333,9.40005,0.07601,73.82928
31.91667,9.39157,0.07332,73.89677
32,9.37973,0.07083,73.96192
32.08333,9.39342,0.07558,74.0281
32.16667,9.41521,0.08236,74.09948
32.25,9.41603,0.08089,74.17326
32.33333,9.41109,0.07867,74.24537
32.41667,9.39272,0.07621,74.31537
32.5,9.40908,0.0804,74.38615
32.58333,9.40708,0.07952,74.45843
32.66667,9.39715,0.07489,74.52821
32.75,9.40151,0.07495,74.59593
32.83333,9.40055,0.07574,74.66404
32.91667,9.3878,0.0724,74.731
33,9.39439,0.07413,74.79723
33.08333,9.39299,0.07281,74.86364
33.16667,9.3679,0.06491,74.92588
33.25,9.44595,0.08919,74.99553
33.33333,9.40278,0.07534,75.06989
33.41667,9.42254,0.08232,75.14115
33.5,9.45617,0.09213,75.22
33.58333,9.40689,0.07513,75.2956
33.66667,9.43808,0.08304,75.36708
33.75,9.41926,0.07891,75.44028
33.83333,9.42455,0.08063,75.51239
33.91667,9.41519,0.07825,75.5842
34,9.42283,0.08122,75.65627
34.08333,9.39594,0.07509,75.72691
34.16667,9.39189,0.07306,75.79387
34.25,9.40849,0.07623,75.86134
34.33333,9.41082,0.07886,75.93143
34.41667,9.40701,0.07741,76.00206
34.5,9.40575,0.07531,76.07108
34.58333,9.36695,0.06287,76.13353
34.66667,9.38988,0.069,76.19313
34.75,9.41291,0.07719,76.2592
34.83333,9.41272,0.07589,76.32838
34.91667,9.39727,0.06918,76.39395
35,9.41498,0.07712,76.46007
35.08333,9.40375,0.07495,76.5288
35.16667,9.39195,0.07083,76.59469
35.25,9.39257,0.06853,76.65767
35.33333,9.42155,0.07652,76.72323
35.41667,9.40286,0.07167,76.79021
35.5,9.38988,0.06973,76.85411
35.58333,9.37481,0.06488,76.91495
35.66667,9.39931,0.06959,76.97573
35.75,9.41607,0.0752,77.04117
35.83333,9.38675,0.06741,77.10562
35.91667,9.39047,0.06863,77.16711
36,9.3829,0.06668,77.22827
36.08333,9.39474,0.06695,77.28866
36.16667,9.40386,0.0689,77.35006
36.25,9.38779,0.06636,77.41119
36.33333,9.39034,0.06633,77.47116
36.41667,9.3902,0.06522,77.53062
36.5,9.42351,0.07624,77.59455
36.58333,9.40214,0.06624,77.65895
36.66667,9.40557,0.06983,77.72044
36.75,9.40098,0.07098,77.78408
36.83333,9.41207,0.07505,77.85008
36.91667,9.40545,0.06858,77.915
37,9.41334,0.07149,77.97831
37.08333,9.41646,0.07323,78.04371
37.16667,9.41056,0.07226,78.10947
37.25,9.41379,0.07232,78.17481
37.33333,9.38919,0.06708,78.23782
37.41667,9.39862,0.06548,78.29773
37.5,9.40683,0.06987,78.35891
37.58333,9.39984,0.06669,78.42063
37.66667,9.3959,0.0666,78.48087
37.75,9.40326,0.06786,78.54164
37.83333,9.40563,0.07002,78.60396
37.91667,9.38116,0.06084,78.6631
38,9.38275,0.06909,78.72183
38.08333,9.40115,0.06463,78.78226
38.16667,9.41382,0.0743,78.84506
38.25,9.39916,0.0651,78.90807
38.33333,9.39727,0.06831,78.96837
38.41667,9.3995,0.06681,79.02944
38.5,9.37528,0.05832,79.08599
38.58333,9.41022,0.0675,79.14285
38.66667,9.38146,0.06248,79.2016
38.75,9.42445,0.07391,79.26324
38.83333,9.37526,0.05894,79.32329
38.91667,9.40368,0.06672,79.38008
39,9.40714,0.06595,79.44005
39.08333,9.42307,0.07484,79.50368
39.16667,9.38434,0.06756,79.56804
39.25,9.38501,0.06527,79.62807
39.33333,9.38558,0.0628,79.68595
39.41667,9.40292,0.06652,79.7444
39.5,9.39679,0.06612,79.80435
39.58333,9.40182,0.06578,79.86396
39.66667,9.40846,0.06676,79.92386
39.75,9.41587,0.06968,79.98552
39.83333,9.38205,0.0623,80.04517
39.91667,9.38017,0.05756,80.09934
40,9.40366,0.07137,80.15761
40.08333,9.40399,0.06259,80.21815
40.16667,9.39872,0.06358,80.27518
40.25,9.42261,0.07512,80.33786
40.33333,9.40943,0.06405,80.40076
40.41667,9.37902,0.0603,80.45696
40.5,9.37465,0.06441,80.51332
40.58333,9.39578,0.06119,80.57009
40.66667,9.37428,0.05331,80.62183
40.75,9.42811,0.07985,80.68202
40.83333,9.39908,0.06115,80.74574
40.91667,9.38176,0.0556,80.7985
41,9.40237,0.0717,80.85604
41.08333,9.40476,0.06889,80.91958
41.16667,9.43608,0.0722,80.98335
41.25,9.3869,0.05931,81.04279
41.33333,9.40153,0.06263,81.0979
41.41667,9.43897,0.07192,81.15871
41.5,9.38827,0.0581,81.21748
41.58333,9.43288,0.06949,81.27514
41.66667,9.45675,0.08435,81.34467
41.75,9.37364,0.05879,81.40937
41.83333,9.40122,0.06085,81.46345
41.91667,9.40497,0.06209,81.51901
42,9.42663,0.07488,81.58092
42.08333,9.40157,0.06125,81.64244
42.16667,9.42538,0.06841,81.70104
42.25,9.37385,0.0527,81.75578
42.33333,9.40279,0.06142,81.80735
42.41667,9.4046,0.06218,81.86322
42.5,9.42235,0.07109,81.92345
42.58333,9.40852,0.06346,81.98426
42.66667,9.40767,0.06392,82.04183
42.75,9.40205,0.064,82.09965
42.83333,9.40785,0.06231,82.15674
42.91667,9.40616,0.06242,82.21311
43,9.41608,0.06481,82.27061
43.08333,9.41949,0.06744,82.33039
43.16667,9.40911,0.06518,82.39033
43.25,9.41219,0.06486,82.4491
43.33333,9.40888,0.06267,82.50674
43.41667,9.39437,0.06096,82.56262
43.5,9.41409,0.0656,82.61982
43.58333,9.41536,0.06434,82.67855
43.66667,9.4102,0.0617,82.73552
43.75,9.42176,0.06525,82.79289
43.83333,9.40031,0.06103,82.84997
43.91667,9.40911,0.0645,82.90671
44,9.38366,0.05686,82.96156
44.08333,9.42004,0.06406,83.01621
44.16667,9.39573,0.06002,83.07229
44.25,9.43427,0.06908,83.13065
44.33333,9.4093,0.06206,83.18992
44.41667,9.40769,0.0608,83.24545
44.5,9.4187,0.06002,83.30006
44.58333,9.40938,0.05983,83.35423
44.66667,9.41631,0.0609,83.40879
44.75,9.38856,0.05913,83.46304
44.83333,9.41079,0.06457,83.51895
44.91667,9.3854,0.05239,83.57182
45,9.40452,0.05836,83.62187
45.08333,9.38569,0.05336,83.67236
45.16667,9.41124,0.05968,83.72345
45.25,9.3823,0.05491,83.77525
45.33333,9.38712,0.05612,83.82543
45.41667,9.41955,0.06168,83.87867
45.5,9.40884,0.06394,83.93544
45.58333,9.39106,0.0556,83.98947
45.66667,9.37963,0.05121,84.03774
45.75,9.40752,0.05922,84.08765
45.83333,9.40275,0.06108,84.14203
45.91667,9.40916,0.06094,84.19717
46,9.41113,0.05962,84.25166
46.08333,9.38472,0.05321,84.30266
46.16667,9.38127,0.05286,84.35059
46.25,9.40173,0.05975,84.40149
46.33333,9.40933,0.05849,84.45493
46.41667,9.39695,0.05802,84.50758
46.5,9.40925,0.06037,84.56109
46.58333,9.42703,0.06391,84.61727
46.66667,9.43037,0.06349,84.67485
46.75,9.4216,0.06005,84.73068
46.83333,9.40726,0.05758,84.78385
46.91667,9.38949,0.05545,84.83493
47,9.40794,0.05669,84.88561
47.08333,9.41844,0.06165,84.9391
47.16667,9.42629,0.0641,84.99593
47.25,9.40434,0.05748,85.05088
47.33333,9.38497,0.04691,85.09805
47.41667,9.41746,0.05998,85.14636
47.5,9.38812,0.05315,85.19749
47.58333,9.39494,0.05491,85.24633
47.66667,9.40431,0.05545,85.2962
47.75,9.41153,0.05529,85.34625
47.83333,9.3968,0.05421,85.39574
47.91667,9.41785,0.05902,85.44692
48,9.391,0.05456,85.49825
48.08333,9.40109,0.05063,85.5458
48.16667,9.40133,0.05497,85.59352
48.25,9.41425,0.05404,85.64279
48.33333,9.38696,0.04943,85.68956
48.41667,9.40957,0.05884,85.73849
48.5,9.40975,0.05541,85.79013
48.58333,9.41585,0.05513,85.8401
48.66667,9.40051,0.05522,85.88997
48.75,9.43756,0.06498,85.9443
48.83333,9.37664,0.04463,85.99384
48.91667,9.40801,0.0566,86.03959
49,9.39387,0.04886,86.08725
49.08333,9.40316,0.04931,86.13162
49.16667,9.39439,0.05025,86.17662
49.25,9.39038,0.05018,86.22201
49.33333,9.38404,0.04879,86.26674
49.41667,9.37927,0.04334,86.30838
49.5,9.38116,0.04069,86.34636
49.58333,9.4171,0.05409,86.3892
